# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1120.3646   0.00021998307
3.000     0.031415927       2658.6835    0.0041762502
3.000     0.047123890       1351.6743    0.0071658169
3.000     0.062831853       1148.4935     0.014432395
3.000     0.078539816       856.74582     0.021027706
3.000     0.094247780       641.94969     0.027226050
3.000      0.10995574       528.52624     0.035595128
3.000      0.12566371       480.64350     0.048319555
3.000      0.14137167       340.73164     0.048771923
3.000      0.15707963       292.98864     0.057528185
3.000      0.17278760       259.07832     0.067707850
3.000      0.18849556       236.95452     0.080396775
3.000      0.20420352       205.95584     0.088845217
3.000      0.21991149       182.45476     0.098303547
3.000      0.23561945       160.47711      0.10634492
3.000      0.25132741       148.63540      0.11953968
3.000      0.26703538       127.43248      0.12292969
3.000      0.28274334       114.49675      0.13111143
3.000      0.29845130       103.19627      0.13898076
3.000      0.31415927       93.407998      0.14672494
3.000      0.32986723       85.497751      0.15546852
3.000      0.34557519       77.103893      0.16120342
3.000      0.36128316       73.076907      0.17457962
3.000      0.37699112       66.169018      0.17960495
3.000      0.39269908       61.815947      0.18964895
3.000      0.40840704       58.661259      0.20244232
3.000      0.42411501       54.341380      0.21001574
3.000      0.43982297       51.205170      0.22070786
3.000      0.45553093       47.527835      0.22759982
3.000      0.47123890       44.976019      0.23843756
3.000      0.48694686       41.367416      0.24197659
3.000      0.50265482       39.715106      0.25552627
3.000      0.51836279       37.300513      0.26320038
3.000      0.53407075       35.499656      0.27396229
3.000      0.54977871       33.849311      0.28495997
3.000      0.56548668       32.513177      0.29784945
3.000      0.58119464       30.467053      0.30301597
3.000      0.59690260       28.905566      0.31143123
3.000      0.61261057       27.605052      0.32152318
3.000      0.62831853       26.276964      0.33020606
3.000      0.64402649       25.072482      0.33929604
3.000      0.65973446       23.695016      0.34469483
3.000      0.67544242       23.191992      0.36205396
3.000      0.69115038       22.227246      0.37176934
3.000      0.70685835       21.650058      0.38737045
3.000      0.72256631       20.203248      0.38612202
3.000      0.73827427       19.849504      0.40464402
3.000      0.75398224       19.040489      0.41345829
3.000      0.76969020       18.542870      0.42834637
3.000      0.78539816       17.727716      0.43510362
3.000      0.80110613       17.099625      0.44537620
3.000      0.81681409       16.545464      0.45679241
3.000      0.83252205       15.898580      0.46474618
3.000      0.84823002       15.437065      0.47728292
3.000      0.86393798       14.906418      0.48695772
3.000      0.87964594       14.398770      0.49650013
3.000      0.89535391       13.982781      0.50844971
3.000      0.91106187       13.693578      0.52460304
3.000      0.92676983       13.113465      0.52881452
3.000      0.94247780       12.674287      0.53753551
3.000      0.95818576       12.330478      0.54954001
3.000      0.97389372       12.147311      0.56844062
3.000      0.98960169       11.776044      0.57816390
3.000       1.0053096       11.409403      0.58726314
3.000       1.0367256       11.041674      0.62329927
3.000       1.0681415       10.128856      0.62534118
3.000       1.0995574       9.8349932      0.66236607
3.000       1.1309734       9.1260255      0.66881970
3.000       1.1623893       8.7612302      0.69709207
3.000       1.1938052       8.5160638      0.73402284
3.000       1.2252211       8.1719081      0.76144260
3.000       1.2566371       7.8383361      0.78799549
3.000       1.2880530       7.4477661      0.80630152
3.000       1.3194689       7.1235070      0.82901350
3.000       1.3508848       6.9520834      0.86824086
3.000       1.3823008       6.6711420      0.89264359
3.000       1.4137167       6.5188315      0.93309782
3.000       1.4451326       6.1419271      0.93907014
3.000       1.4765485       5.9136110      0.96441999
3.000       1.5079645       5.8425332       1.0149503
3.000       1.5393804       5.5858500       1.0322797
3.000       1.5707963       5.4449437       1.0691122
3.000       1.6022123       5.1980349       1.0831026
3.000       1.6336282       5.0082167       1.1061474
3.000       1.6650441       4.8709367       1.1390951
3.000       1.6964600       4.7999546       1.1872394
3.000       1.7278760       4.6937872       1.2266802
3.000       1.7592919       4.4777886       1.2352292
3.000       1.7907078       4.4338390       1.2898059
3.000       1.8221237       4.2796288       1.3116258
3.000       1.8535397       4.1758265       1.3471574
3.000       1.8849556       4.0582174       1.3769207
3.000       1.9163715       3.9458863       1.4068699
3.000       1.9477874       3.8610534       1.4454423
3.000       1.9792034       3.7377854       1.4681008
3.000       2.0106193       3.6673308       1.5101145
3.000       2.0734512       3.4415196       1.5541822
3.000       2.1362830       3.3842272       1.6714990
3.000       2.1991149       3.2130367       1.7311300
3.000       2.2619467       3.0552535       1.7912847
3.000       2.3247786       2.9894522       1.9028592
3.000       2.3876104       2.8031046       1.9328580
3.000       2.4504423       2.6998722       2.0125510
3.000       2.5132741       2.6238318       2.1102107
3.000       2.5761060       2.5306647       2.1917753
3.000       2.6389378       2.4169516       2.2502237
3.000       2.7017697       2.3312246       2.3291601
3.000       2.7646015       2.3132484       2.4762254
3.000       2.8274334       2.2017484       2.5212452
3.000       2.8902652       2.1595436       2.6414679
3.000       2.9530971       2.0517505       2.6768744
3.000       3.0159289       2.0391318       2.8338631
3.000       3.0787608       1.9349788       2.8607131
3.000       3.1415927       1.9157695       3.0092837
3.000       3.2044245       1.8606386       3.1015759
3.000       3.2672564       1.8059752       3.1910357
3.000       3.3300882       1.7372080       3.2500443
3.000       3.3929201       1.6874005       3.3389454
3.000       3.4557519       1.6457637       3.4408474
3.000       3.5185838       1.6356519       3.6096478
3.000       3.5814156       1.5648772       3.6417883
3.000       3.6442475       1.5389037       3.7731605
3.000       3.7070793       1.4967918       3.8630231
3.000       3.7699112       1.4814950       4.0212753
3.000       3.8327430       1.4356291       4.0948841
3.000       3.8955749       1.3978727       4.1865142
3.000       3.9584067       1.3658085       4.2916205
3.000       4.0212386       1.3397734       4.4134796
3.000       4.1469023       1.2817634       4.6307310
3.000       4.2725660       1.2458534       4.9227018
3.000       4.3982297       1.1789748       5.0816941
3.000       4.5238934       1.1440449       5.3659968
3.000       4.6495571       1.0904857       5.5529657
3.000       4.7752208       1.0509810       5.7975633
3.000       4.9008845       1.0292863       6.1380423
3.000       5.0265482      0.98552025       6.3408193
3.000       5.1522120      0.93865852       6.5036782
3.000       5.2778757      0.90530844       6.7428623
3.000       5.4035394      0.87917268       7.0271529
3.000       5.5292031      0.85053088       7.2836315
3.000       5.6548668      0.82699797       7.5760326
3.000       5.7805305      0.80326342       7.8601591
3.000       5.9061942      0.78058296       8.1472772
3.000       6.0318579      0.76563309       8.5122478
3.000       6.1575216      0.73511473       8.6944721
3.000       6.2831853      0.70766909       8.8928321
3.000       6.4088490      0.68527470       9.1385034
3.000       6.5345127      0.66962759       9.4654926
3.000       6.6601764      0.64513561       9.6555823
3.000       6.7858401      0.63794668       10.098701
3.000       6.9115038      0.62349019       10.428397
3.000       7.0371675      0.61640051       10.882456
3.000       7.1628313      0.59280930       11.036705
3.000       7.2884950      0.58334312       11.442157
3.000       7.4141587      0.55436437       11.445933
3.000       7.5398224      0.54614460       11.859360
3.000       7.6654861      0.53330268       12.169231
3.000       7.7911498      0.52335815       12.539318
3.000       7.9168135      0.51541792       12.956301
3.000       8.0424772      0.49835221       13.133370
3.000       8.2938046      0.48678444       14.069166
3.000       8.5451320      0.45500713       14.382845
3.000       8.7964594      0.43396995       14.964204
3.000       9.0477868      0.42824460       16.069014
3.000       9.2991143      0.40457685       16.481473
3.000       9.5504417      0.39826121       17.575538
3.000       9.8017691      0.38414905       18.326664
3.000       10.053096      0.37140696       19.117005
3.000       10.304424      0.35696920       19.786645
3.000       10.555751      0.34551743       20.587692
3.000       10.807079      0.34138270       21.829145
3.000       11.058406      0.33397124       22.880048
3.000       11.309734      0.31815669       23.316773
3.000       11.561061      0.31274229       24.482172
3.000       11.812388      0.31124830       25.989049
3.000       12.063716      0.29434311       26.179866
3.000       12.315043      0.28841082       27.289126
3.000       12.566371      0.27981734       28.130308
3.000       12.817698      0.26985336       28.789107
3.000       13.069025      0.26327173       29.771732
3.000       13.320353      0.25992108       31.121388
3.000       13.571680      0.25395306       32.160631
3.000       13.823008      0.25040420       33.505763
3.000       14.074335      0.23916828       33.779833
3.000       14.325663      0.23470901       34.957806
3.000       14.576990      0.22866137       35.881172
3.000       14.828317      0.22341688       36.903016
3.000       15.079645      0.21536215       37.412175
3.000       15.330972      0.21379702       39.028422
3.000       15.582300      0.20657839       39.595862
3.000       15.833627      0.19935674       40.090587
3.000       16.084954      0.19648737       41.425179
3.000       16.587609      0.18199459       42.080427
3.000       17.090264      0.18125359       45.835628
3.000       17.592919      0.17022392       46.957455
3.000       18.095574      0.16745175       50.266311
3.000       18.598229      0.15874292       51.734395
3.000       19.100883      0.15298043       54.009045
3.000       19.603538      0.14468989       55.221960
3.000       20.106193      0.14609346       60.157610
3.000       20.608848      0.13810332       61.240049
3.000       21.111503      0.13326226       63.523565
3.000       21.614157      0.12659620       64.759855
3.000       22.116812      0.12305896       67.445208
3.000       22.619467      0.12093193       70.901979
3.000       23.122122      0.11495221       71.989747
3.000       23.624777      0.11156399       74.524217
3.000       24.127432      0.10776300       76.678433
3.000       24.630086      0.10458388       79.164928
3.000       25.132741      0.10131925       81.485779
3.000       25.635396     0.099526973       84.943695
3.000       26.138051     0.095751786       86.623702
3.000       26.640706     0.092009411       88.133230
3.000       27.143361     0.090178505       91.361692
3.000       27.646015     0.086911907       93.035174
3.000       28.148670     0.085514474       96.623671
3.000       28.651325     0.082970222       98.861374
3.000       29.153980     0.080861661       101.50945
3.000       29.656635     0.078946740       104.32060
3.000       30.159289     0.076893460       106.86192
3.000       30.661944     0.074971425       109.48764
3.000       31.164599     0.072398621       111.01590
3.000       31.667254     0.069898936       112.45326
3.000       32.169909     0.069126949       116.59157
3.000       33.175218     0.064345164       119.02208
3.000       34.180528     0.064537645       130.56287
3.000       35.185838     0.064120885       141.50554
3.000       36.191147     0.058908364       141.46672
3.000       37.196457     0.054699085       142.61166
3.000       38.201767     0.053941933       152.35163
3.000       39.207076     0.051408755       156.96424
3.000       40.212386     0.049502083       163.06970
3.000       41.217696     0.047766631       169.45172
3.000       42.223005     0.046840690       178.62448
3.000       43.228315     0.044364653       181.55669
3.000       44.233625     0.042888219       188.04676
3.000       45.238934     0.042685564       200.21120
3.000       46.244244     0.040827781       204.54981
3.000       47.249554     0.038241758       204.36252
3.000       48.254863     0.037518098       213.56709
3.000       49.260173     0.037959249       229.86649
3.000       50.265482     0.035594358       229.01345
3.000       51.270792     0.033660198       229.82486
3.000       52.276102     0.033896953       245.32426
3.000       53.281411     0.033479078       256.54935
3.000       54.286721     0.032242444       261.32385
3.000       55.292031     0.030320582       259.65424
3.000       56.297340     0.029895774       270.23630
3.000       57.302650     0.029526997       281.45804
3.000       58.307960     0.029731974       298.59157
3.000       59.313269     0.029214138       308.82960
3.000       60.318579     0.028546696       317.37989
3.000       61.323889     0.026806002       313.17809
3.000       62.329198     0.026532633       325.48070
3.000       63.334508     0.026182782       336.98243
3.000       64.339818     0.025725983       347.12166
3.000       66.350437     0.024207836       358.22640
3.000       68.361056     0.023970767       387.95244
3.000       70.371675     0.022340756       394.42261
3.000       72.382295     0.021597701       414.92999
3.000       74.392914     0.021612180       450.77886
3.000       76.403533     0.020642449       466.41425
3.000       78.414153     0.019811551       483.91835
3.000       80.424772     0.020356011       536.45396
3.000       82.435391     0.019141120       543.22371
3.000       84.446011     0.019268712       587.84167
3.000       86.456630     0.019251831       630.28534
3.000       88.467249     0.018737091       657.23394
3.000       90.477868     0.017668911       662.99020
3.000       92.488488     0.017935526       718.86512
3.000       94.499107     0.016502314       705.50194
3.000       96.509726     0.016756128       763.05735
3.000       98.520346     0.015668302       759.04927
3.000       100.53096     0.016546415       851.67467
3.000       102.54158     0.015913380       869.22608
3.000       104.55220     0.015230132       881.80693
3.000       106.56282     0.016091309       986.45841
3.000       108.57344     0.016029518       1039.3493
3.000       110.58406     0.015481735       1060.6388
3.000       112.59468     0.014451259       1045.0319
3.000       114.60530     0.015006948       1144.3971
3.000       116.61592     0.014241045       1144.1571
3.000       118.62654     0.013591084       1149.3967
3.000       120.63716     0.013803731       1227.7503
3.000       122.64778     0.014077129       1315.7197
3.000       124.65840     0.013285366       1303.7922
3.000       126.66902     0.013000664       1338.5881
3.000       128.67964     0.013370649       1443.2853
3.000       132.70087     0.012940061       1531.8912
3.000       136.72211     0.013995473       1812.0665
3.000       140.74335     0.012695788       1793.1375
3.000       144.76459     0.012148376       1867.1342
3.000       148.78583     0.011672542       1947.6925
3.000       152.80707     0.011437109       2067.3635
3.000       156.82831     0.011085728       2166.2462
3.000       160.84954     0.010805221       2278.0508
3.000       164.87078     0.010459407       2374.6981
3.000       168.89202     0.010271072       2506.7640
3.000       172.91326     0.010440928       2734.6027
3.000       176.93450     0.010049262       2819.9538
3.000       180.95574    0.0092735870       2783.7811
3.000       184.97698    0.0092305499       2959.7215
3.000       188.99821    0.0085667745       2929.9533
3.000       193.01945    0.0086139075       3138.1500
3.000       197.04069    0.0091444685       3544.0227
3.000       201.06193    0.0088384363       3639.4456
3.000       205.08317    0.0086895040       3797.1285
3.000       209.10441    0.0082283594       3811.2994
3.000       213.12565    0.0077624391       3806.9362
3.000       217.14688    0.0087426164       4534.9498
3.000       221.16812    0.0073528339       4029.8846
3.000       225.18936    0.0067019939       3877.1972
3.000       229.21060    0.0072156330       4401.9873
3.000       233.23184    0.0068125051       4378.6538
3.000       237.25308    0.0073059309       4942.8949
3.000       241.27432    0.0066500861       4731.8482
3.000       245.29555    0.0064893538       4852.2229
3.000       249.31679    0.0062731368       4925.0383
3.000       253.33803    0.0058792983       4842.8045
3.000       257.35927    0.0061573928       5317.2438
3.000       265.40175    0.0059300389       5616.1556
3.000       273.44422    0.0051702526       5355.3552
3.000       281.48670    0.0055266372       6244.6034
3.000       289.52918    0.0050867658       6254.4484
3.000       297.57166    0.0045236509       6038.5689
3.000       305.61413    0.0041750804       6037.4759
3.000       313.65661    0.0040111729       6270.5405
3.000       321.69909    0.0045567474       7685.5455
3.000       329.74156    0.0041276765       7497.1637
3.000       337.78404    0.0032886024       6420.9460
3.000       345.82652    0.0039062422       8184.7291
3.000       353.86900    0.0037875169       8502.6125
3.000       361.91147    0.0040610996       9752.6122
3.000       369.95395    0.0030063669       7711.7911
3.000       377.99643    0.0031833498       8709.9911
3.000       386.03891    0.0030125647       8780.1082
3.000       394.08138    0.0032340940       10027.223
3.000       402.12386    0.0028646667       9436.7811
3.000       410.16634    0.0038440081       13437.999
3.000       418.20881    0.0028624587       10606.914
3.000       426.25129    0.0026430537       10369.872
3.000       434.29377    0.0028888386       11987.934
3.000       442.33625    0.0023400324       10260.056
3.000       450.37872    0.0030206340       13979.832
3.000       458.42120    0.0027294515       13321.089
3.000       466.46368    0.0029941921       15395.841
3.000       474.50615    0.0031394127       16991.989
3.000       482.54863    0.0026939123       15334.760
3.000       490.59111    0.0024952937       14926.258
3.000       498.63359    0.0026872846       16878.293
3.000       506.67606    0.0030900723       20362.452
3.000       514.71854    0.0027832103       19227.628
2.750     0.015707963       1270.3830   0.00024943913
2.750     0.031415927       3016.4419    0.0047382159
2.750     0.047123890       1532.1464    0.0081225786
2.750     0.062831853       1303.6812     0.016382541
2.750     0.078539816       972.51116     0.023869015
2.750     0.094247780       728.98324     0.030917273
2.750      0.10995574       599.59172     0.040381239
2.750      0.12566371       544.32458     0.054721475
2.750      0.14137167       387.37838     0.055448882
2.750      0.15707963       333.56016     0.065494384
2.750      0.17278760       294.98484     0.077091703
2.750      0.18849556       269.36689     0.091394032
2.750      0.20420352       234.37476      0.10110457
2.750      0.21991149       208.10513      0.11212354
2.750      0.23561945       182.96338      0.12124612
2.750      0.25132741       169.70608      0.13648573
2.750      0.26703538       145.65141      0.14050486
2.750      0.28274334       131.36545      0.15042796
2.750      0.29845130       118.18784      0.15917083
2.750      0.31415927       107.13568      0.16828833
2.750      0.32986723       98.094874      0.17837504
2.750      0.34557519       88.459620      0.18494517
2.750      0.36128316       84.046877      0.20078672
2.750      0.37699112       76.232328      0.20692016
2.750      0.39269908       71.159991      0.21831612
2.750      0.40840704       67.630408      0.23339521
2.750      0.42411501       62.631551      0.24205516
2.750      0.43982297       59.001582      0.25431246
2.750      0.45553093       55.036867      0.26355884
2.750      0.47123890       52.063078      0.27600916
2.750      0.48694686       47.895779      0.28016392
2.750      0.50265482       46.025212      0.29612537
2.750      0.51836279       43.287644      0.30544686
2.750      0.53407075       41.255323      0.31838063
2.750      0.54977871       39.408059      0.33175622
2.750      0.56548668       37.813677      0.34640672
2.750      0.58119464       35.568312      0.35375152
2.750      0.59690260       33.697411      0.36305900
2.750      0.61261057       32.229768      0.37538844
2.750      0.62831853       30.759112      0.38653040
2.750      0.64402649       29.357924      0.39728923
2.750      0.65973446       27.749090      0.40367003
2.750      0.67544242       27.212490      0.42481862
2.750      0.69115038       26.064029      0.43594277
2.750      0.70685835       25.426395      0.45493801
2.750      0.72256631       23.771507      0.45431817
2.750      0.73827427       23.356411      0.47613440
2.750      0.75398224       22.423917      0.48692838
2.750      0.76969020       21.869667      0.50519647
2.750      0.78539816       20.930181      0.51370393
2.750      0.80110613       20.189013      0.52584228
2.750      0.81681409       19.569524      0.54028161
2.750      0.83252205       18.843630      0.55083567
2.750      0.84823002       18.252121      0.56431879
2.750      0.86393798       17.720598      0.57889036
2.750      0.87964594       17.103502      0.58976501
2.750      0.89535391       16.601622      0.60367748
2.750      0.91106187       16.290581      0.62409462
2.750      0.92676983       15.640414      0.63071645
2.750      0.94247780       15.124513      0.64145329
2.750      0.95818576       14.695384      0.65493821
2.750      0.97389372       14.498921      0.67848560
2.750      0.98960169       14.053831      0.68999550
2.750       1.0053096       13.664508      0.70333756
2.750       1.0367256       13.226834      0.74665091
2.750       1.0681415       12.163728      0.75097130
2.750       1.0995574       11.813610      0.79562172
2.750       1.1309734       10.987754      0.80526033
2.750       1.1623893       10.577541      0.84160784
2.750       1.1938052       10.266085      0.88486198
2.750       1.2252211       9.8663548      0.91932787
2.750       1.2566371       9.4966989      0.95471230
2.750       1.2880530       9.0178659      0.97628186
2.750       1.3194689       8.6580543       1.0075998
2.750       1.3508848       8.4739307       1.0583033
2.750       1.3823008       8.1291827       1.0877392
2.750       1.4137167       7.9715549       1.1410389
2.750       1.4451326       7.5060732       1.1476413
2.750       1.4765485       7.2514708       1.1826046
2.750       1.5079645       7.1249714       1.2377323
2.750       1.5393804       6.8437121       1.2647359
2.750       1.5707963       6.6831274       1.3122290
2.750       1.6022123       6.4230291       1.3383518
2.750       1.6336282       6.1835659       1.3657428
2.750       1.6650441       6.0184596       1.4074496
2.750       1.6964600       5.9182533       1.4638437
2.750       1.7278760       5.8020753       1.5163215
2.750       1.7592919       5.5279871       1.5249338
2.750       1.7907078       5.5005783       1.6001209
2.750       1.8221237       5.3197720       1.6304102
2.750       1.8535397       5.1945122       1.6757942
2.750       1.8849556       5.0505417       1.7136084
2.750       1.9163715       4.9302230       1.7578262
2.750       1.9477874       4.8032454       1.7981657
2.750       1.9792034       4.6663637       1.8328213
2.750       2.0106193       4.5924030       1.8910360
2.750       2.0734512       4.3233488       1.9524142
2.750       2.1362830       4.2246668       2.0865994
2.750       2.1991149       4.0350066       2.1739935
2.750       2.2619467       3.8418772       2.2524795
2.750       2.3247786       3.7610810       2.3940197
2.750       2.3876104       3.5215025       2.4282235
2.750       2.4504423       3.3804963       2.5199049
2.750       2.5132741       3.3091757       2.6613970
2.750       2.5761060       3.2060084       2.7766817
2.750       2.6389378       3.0639028       2.8525464
2.750       2.7017697       2.9770091       2.9743727
2.750       2.7646015       2.9133544       3.1186110
2.750       2.8274334       2.8115971       3.2195894
2.750       2.8902652       2.7420431       3.3539582
2.750       2.9530971       2.6230299       3.4222102
2.750       3.0159289       2.5998207       3.6130750
2.750       3.0787608       2.4790248       3.6650422
2.750       3.1415927       2.4596180       3.8635589
2.750       3.2044245       2.3883472       3.9812353
2.750       3.2672564       2.3134163       4.0876499
2.750       3.3300882       2.2374567       4.1859315
2.750       3.3929201       2.1725775       4.2989899
2.750       3.4557519       2.1136613       4.4190950
2.750       3.5185838       2.0791693       4.5884266
2.750       3.5814156       2.0366567       4.7397153
2.750       3.6442475       1.9868238       4.8713935
2.750       3.7070793       1.9314471       4.9848112
2.750       3.7699112       1.9018974       5.1623887
2.750       3.8327430       1.8407892       5.2505334
2.750       3.8955749       1.7993206       5.3888177
2.750       3.9584067       1.7558557       5.5172204
2.750       4.0212386       1.7339367       5.7119321
2.750       4.1469023       1.6550616       5.9793755
2.750       4.2725660       1.6163916       6.3867979
2.750       4.3982297       1.5116428       6.5155811
2.750       4.5238934       1.4952759       7.0134011
2.750       4.6495571       1.4120882       7.1906286
2.750       4.7752208       1.3727408       7.5724982
2.750       4.9008845       1.3283237       7.9213204
2.750       5.0265482       1.2746465       8.2010521
2.750       5.1522120       1.2305966       8.5264282
2.750       5.2778757       1.1753787       8.7543831
2.750       5.4035394       1.1518398       9.2065580
2.750       5.5292031       1.1064730       9.4754250
2.750       5.6548668       1.0766318       9.8628995
2.750       5.7805305       1.0558890       10.332171
2.750       5.9061942       1.0151815       10.595883
2.750       6.0318579      0.99155169       11.023993
2.750       6.1575216      0.94825130       11.215317
2.750       6.2831853      0.91626699       11.514151
2.750       6.4088490      0.89431348       11.926147
2.750       6.5345127      0.86999657       12.297800
2.750       6.6601764      0.85465303       12.791377
2.750       6.7858401      0.83434720       13.207723
2.750       6.9115038      0.80955165       13.540431
2.750       7.0371675      0.79580813       14.049870
2.750       7.1628313      0.77140195       14.361677
2.750       7.2884950      0.74724897       14.657137
2.750       7.4141587      0.72657442       15.001545
2.750       7.5398224      0.70896574       15.394970
2.750       7.6654861      0.69362389       15.827539
2.750       7.7911498      0.67407472       16.150388
2.750       7.9168135      0.66438951       16.701069
2.750       8.0424772      0.64542430       17.009247
2.750       8.2938046      0.62122256       17.954730
2.750       8.5451320      0.58996403       18.648853
2.750       8.7964594      0.56353418       19.431854
2.750       9.0477868      0.54830648       20.574094
2.750       9.2991143      0.51758596       21.085189
2.750       9.5504417      0.51046133       22.527006
2.750       9.8017691      0.49468424       23.599985
2.750       10.053096      0.47957079       24.684398
2.750       10.304424      0.45954480       25.472365
2.750       10.555751      0.44101444       26.277892
2.750       10.807079      0.41944770       26.820880
2.750       11.058406      0.41069418       28.136263
2.750       11.309734      0.40444267       29.640420
2.750       11.561061      0.38789308       30.365145
2.750       11.812388      0.37916081       31.659704
2.750       12.063716      0.36544293       32.503723
2.750       12.315043      0.35870498       33.940285
2.750       12.566371      0.34245714       34.427547
2.750       12.817698      0.33789883       36.048488
2.750       13.069025      0.32703521       36.982340
2.750       13.320353      0.31902816       38.198514
2.750       13.571680      0.30493647       38.617174
2.750       13.823008      0.29925141       40.041848
2.750       14.074335      0.29039804       41.015461
2.750       14.325663      0.28304875       42.157577
2.750       14.576990      0.27613185       43.330163
2.750       14.828317      0.27037319       44.659052
2.750       15.079645      0.26252593       45.605350
2.750       15.330972      0.25920255       47.317154
2.750       15.582300      0.24710787       47.364339
2.750       15.833627      0.24580184       49.430684
2.750       16.084954      0.23698987       49.964270
2.750       16.587609      0.22992080       53.161827
2.750       17.090264      0.21613184       54.655684
2.750       17.592919      0.21031827       58.017761
2.750       18.095574      0.19680384       59.077335
2.750       18.598229      0.18729591       61.039827
2.750       19.100883      0.18562185       65.532949
2.750       19.603538      0.17365690       66.277434
2.750       20.106193      0.17312327       71.287804
2.750       20.608848      0.16231397       71.975930
2.750       21.111503      0.15853060       75.568501
2.750       21.614157      0.15100875       77.248010
2.750       22.116812      0.14623492       80.147309
2.750       22.619467      0.14311316       83.906757
2.750       23.122122      0.13443719       84.192371
2.750       23.624777      0.13379051       89.371431
2.750       24.127432      0.12916292       91.905477
2.750       24.630086      0.12368690       93.624990
2.750       25.132741      0.11937676       96.008487
2.750       25.635396      0.11582057       98.849859
2.750       26.138051      0.11594002       104.88738
2.750       26.640706      0.11110583       106.42515
2.750       27.143361      0.10664914       108.04843
2.750       27.646015      0.10299648       110.25296
2.750       28.148670      0.10073345       113.81975
2.750       28.651325     0.096945062       115.51279
2.750       29.153980     0.095395713       119.75473
2.750       29.656635     0.090806037       119.99153
