# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.062831853       318.45147    0.0040017792
3.000      0.12566371       505.98910     0.050867572
3.000      0.18849556       191.75074     0.065059493
3.000      0.25132741       132.37513      0.10646240
3.000      0.31415927       84.479499      0.13270009
3.000      0.37699112       61.895286      0.16800461
3.000      0.43982297       45.292898      0.19522440
3.000      0.50265482       35.467903      0.22819984
3.000      0.56548668       27.102301      0.24828104
3.000      0.62831853       23.652272      0.29722322
3.000      0.69115038       20.266634      0.33897646
3.000      0.75398224       16.335245      0.35471476
3.000      0.81681409       14.671554      0.40505690
3.000      0.87964594       13.044680      0.44980823
3.000      0.94247780       11.352186      0.48146324
3.000       1.0053096       10.245603      0.52736017
3.000       1.0681415       8.9772676      0.55424374
3.000       1.1309734       8.2130259      0.60190863
3.000       1.1938052       7.5736206      0.65279109
3.000       1.2566371       6.8685388      0.69050083
3.000       1.3194689       6.3564104      0.73974097
3.000       1.3823008       5.8323111      0.78040239
3.000       1.4451326       5.3305354      0.81501238
3.000       1.5079645       4.9943343      0.86760331
3.000       1.5707963       4.6707551      0.91710061
3.000       1.6336282       4.3305985      0.95648427
3.000       1.6964600       4.1014285       1.0144632
3.000       1.7592919       3.9264194       1.0831301
3.000       1.8221237       3.5748765       1.0956325
3.000       1.8849556       3.4735309       1.1785413
3.000       1.9477874       3.2580835       1.2197116
3.000       2.0106193       3.1216261       1.2854071
3.000       2.0734512       2.9616020       1.3374526
3.000       2.1362830       2.8418001       1.4035896
3.000       2.1991149       2.6503331       1.4279548
3.000       2.2619467       2.5264723       1.4812621
3.000       2.3247786       2.5337128       1.6127700
3.000       2.3876104       2.3864003       1.6455230
3.000       2.4504423       2.3518357       1.7531160
3.000       2.5132741       2.2131436       1.7799157
3.000       2.5761060       2.1305417       1.8452341
3.000       2.6389378       2.0510517       1.9095646
3.000       2.7017697       2.0085953       2.0068166
3.000       2.7646015       1.9661926       2.1047182
3.000       2.8274334       1.8756805       2.1478615
3.000       2.8902652       1.8101372       2.2140879
3.000       2.9530971       1.7312159       2.2586798
3.000       3.0159289       1.6855556       2.3424841
3.000       3.0787608       1.6363924       2.4192767
3.000       3.1415927       1.5959419       2.5068997
3.000       3.2044245       1.5404028       2.5677616
3.000       3.2672564       1.5295817       2.7026672
3.000       3.3300882       1.4489569       2.7107717
3.000       3.3929201       1.4203914       2.8106010
3.000       3.4557519       1.3798377       2.8848679
3.000       3.5185838       1.3474163       2.9735534
3.000       3.5814156       1.3019987       3.0300165
3.000       3.6442475       1.2816896       3.1425102
3.000       3.7070793       1.2624848       3.2583073
3.000       3.7699112       1.2024069       3.2637363
3.000       3.8327430       1.2022932       3.4293337
3.000       3.8955749       1.1560996       3.4624236
3.000       3.9584067       1.1351869       3.5669651
3.000       4.0212386       1.1262004       3.7099279
3.000       4.1469023       1.0730386       3.8766539
3.000       4.2725660       1.0111916       3.9954899
3.000       4.3982297      0.98178965       4.2317737
3.000       4.5238934      0.95951390       4.5004778
3.000       4.6495571      0.90651622       4.6161573
3.000       4.7752208      0.88246398       4.8679670
3.000       4.9008845      0.83856590       5.0007008
3.000       5.0265482      0.81490670       5.2430949
3.000       5.1522120      0.77794300       5.3901295
3.000       5.2778757      0.76289742       5.6821654
3.000       5.4035394      0.73037059       5.8377904
3.000       5.5292031      0.71525256       6.1251580
3.000       5.6548668      0.68480122       6.2733847
3.000       5.7805305      0.67609161       6.6157471
3.000       5.9061942      0.64140183       6.6945843
3.000       6.0318579      0.63166660       7.0228190
3.000       6.1575216      0.60949219       7.2086881
3.000       6.2831853      0.58252266       7.3201956
3.000       6.4088490      0.57490005       7.6665986
3.000       6.5345127      0.55386441       7.8291271
3.000       6.6601764      0.53728044       8.0413412
3.000       6.7858401      0.52140955       8.2539173
3.000       6.9115038      0.50977464       8.5264087
3.000       7.0371675      0.49631518       8.7623680
3.000       7.1628313      0.47971636       8.9311822
3.000       7.2884950      0.47281604       9.2741910
3.000       7.4141587      0.46334372       9.5666342
3.000       7.5398224      0.44894754       9.7487560
3.000       7.6654861      0.44297498       10.108077
3.000       7.7911498      0.43094075       10.325058
3.000       7.9168135      0.41814248       10.511043
3.000       8.0424772      0.40948839       10.791489
3.000       8.2938046      0.38963480       11.261322
3.000       8.5451320      0.36734943       11.611972
3.000       8.7964594      0.34856008       12.019091
3.000       9.0477868      0.34275367       12.861140
3.000       9.2991143      0.32788201       13.357113
3.000       9.5504417      0.31589039       13.940458
3.000       9.8017691      0.29813357       14.223109
3.000       10.053096      0.28771109       14.809023
3.000       10.304424      0.27661969       15.332907
3.000       10.555751      0.26495900       15.787610
3.000       10.807079      0.25561427       16.344826
3.000       11.058406      0.24723943       16.938135
3.000       11.309734      0.23793037       17.437220
3.000       11.561061      0.22882457       17.912903
3.000       11.812388      0.22339847       18.653641
3.000       12.063716      0.21290980       18.936914
3.000       12.315043      0.20773488       19.655654
3.000       12.566371      0.20247089       20.354594
3.000       12.817698      0.19354123       20.647804
3.000       13.069025      0.18902948       21.376146
3.000       13.320353      0.18315839       21.930285
3.000       13.571680      0.17742745       22.469424
3.000       13.823008      0.17175201       22.981572
3.000       14.074335      0.16758175       23.669040
3.000       14.325663      0.16058219       23.917280
3.000       14.576990      0.15575486       24.440800
3.000       14.828317      0.15106134       24.951646
3.000       15.079645      0.14867091       25.826739
3.000       15.330972      0.14322347       26.145295
3.000       15.582300      0.13948039       26.734870
3.000       15.833627      0.13586864       27.323146
3.000       16.084954      0.13230076       27.892798
3.000       16.587609      0.12308516       28.459505
3.000       17.090264      0.12151588       30.729085
3.000       17.592919      0.11359376       31.335632
3.000       18.095574      0.10674379       32.042763
3.000       18.598229      0.10052366       32.760708
3.000       19.100883     0.097053074       34.264146
3.000       19.603538     0.093799750       35.799365
3.000       20.106193     0.091269980       37.582681
3.000       20.608848     0.085211726       37.785986
3.000       21.111503     0.083365590       39.738780
3.000       21.614157     0.078104581       39.954132
3.000       22.116812     0.076991531       42.196925
3.000       22.619467     0.074250015       43.532530
3.000       23.122122     0.071275773       44.637026
3.000       23.624777     0.067424161       45.039022
3.000       24.127432     0.065877672       46.875054
3.000       24.630086     0.063255267       47.881170
3.000       25.132741     0.061162736       49.189991
3.000       25.635396     0.059199345       50.525109
3.000       26.138051     0.057608052       52.116237
3.000       26.640706     0.055970103       53.612189
3.000       27.143361     0.054436008       55.150236
3.000       27.646015     0.051281734       54.894723
3.000       28.148670     0.050831261       57.434758
3.000       28.651325     0.048627924       57.941551
3.000       29.153980     0.046927175       58.909891
3.000       29.656635     0.045769878       60.480534
3.000       30.159289     0.044274881       61.530575
3.000       30.661944     0.042876769       62.616873
3.000       31.164599     0.042127465       64.598171
3.000       31.667254     0.041220821       66.315968
3.000       32.169909     0.039351853       66.372005
3.000       33.175218     0.038142056       70.553041
3.000       34.180528     0.035493682       71.805485
3.000       35.185838     0.033934069       74.887595
3.000       36.191147     0.032381705       77.763720
3.000       37.196457     0.030274922       78.932893
3.000       38.201767     0.029672493       83.805910
3.000       39.207076     0.027244385       83.184160
3.000       40.212386     0.027294529       89.913601
3.000       41.217696     0.025860774       91.740878
3.000       42.223005     0.025346702       96.658297
3.000       43.228315     0.023952264       98.021593
3.000       44.233625     0.022763208       99.807071
3.000       45.238934     0.021641666       101.50748
3.000       46.244244     0.021083606       105.63022
3.000       47.249554     0.020330727       108.64664
3.000       48.254863     0.019191561       109.24557
3.000       49.260173     0.018858818       114.20169
3.000       50.265482     0.018111350       116.52810
3.000       51.270792     0.017747554       121.17662
3.000       52.276102     0.016824715       121.76643
3.000       53.281411     0.016601298       127.21534
3.000       54.286721     0.015836166       128.35156
3.000       55.292031     0.015305864       131.07375
3.000       56.297340     0.014852786       134.25851
3.000       57.302650     0.014464529       137.87917
3.000       58.307960     0.014128569       141.89006
3.000       59.313269     0.013538827       143.12216
3.000       60.318579     0.013170520       146.42879
3.000       61.323889     0.012733687       148.76936
3.000       62.329198     0.012459970       152.84874
3.000       63.334508     0.011957037       153.89164
3.000       64.339818     0.011830323       159.62699
3.000       66.350437     0.010986410       162.57637
3.000       68.361056     0.010624308       171.94803
3.000       70.371675    0.0096794426       170.88907
3.000       72.382295    0.0098171063       188.60395
3.000       74.392914    0.0089818554       187.34022
3.000       76.403533    0.0085676180       193.58455
3.000       78.414153    0.0083841840       204.79267
3.000       80.424772    0.0079084648       208.41643
3.000       82.435391    0.0076306424       216.55712
3.000       84.446011    0.0072414267       220.91836
