# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1120.4974   0.00022000915
3.000     0.031415927       2658.9591    0.0041766832
3.000     0.047123890       1351.6783    0.0071658383
3.000     0.062831853       1148.5720     0.014433382
3.000     0.078539816       856.90193     0.021031538
3.000     0.094247780       642.01147     0.027228670
3.000      0.10995574       528.60526     0.035600450
3.000      0.12566371       480.74715     0.048329975
3.000      0.14137167       340.80539     0.048782479
3.000      0.15707963       293.02433     0.057535192
3.000      0.17278760       259.13519     0.067722712
3.000      0.18849556       236.99309     0.080409861
3.000      0.20420352       206.00227     0.088865249
3.000      0.21991149       182.49032     0.098322708
3.000      0.23561945       160.50252      0.10636176
3.000      0.25132741       148.66987      0.11956741
3.000      0.26703538       127.45858      0.12295487
3.000      0.28274334       114.53440      0.13115455
3.000      0.29845130       103.23345      0.13903083
3.000      0.31415927       93.433441      0.14676491
3.000      0.32986723       85.523627      0.15551557
3.000      0.34557519       77.136041      0.16127063
3.000      0.36128316       73.106298      0.17464984
3.000      0.37699112       66.197367      0.17968190
3.000      0.39269908       61.848290      0.18974818
3.000      0.40840704       58.690963      0.20254483
3.000      0.42411501       54.369660      0.21012504
3.000      0.43982297       51.237400      0.22084678
3.000      0.45553093       47.559047      0.22774929
3.000      0.47123890       45.012428      0.23863058
3.000      0.48694686       41.401055      0.24217337
3.000      0.50265482       39.747157      0.25573248
3.000      0.51836279       37.333491      0.26343308
3.000      0.53407075       35.532019      0.27421204
3.000      0.54977871       33.881514      0.28523107
3.000      0.56548668       32.545086      0.29814177
3.000      0.58119464       30.499322      0.30333690
3.000      0.59690260       28.938757      0.31178883
3.000      0.61261057       27.637389      0.32189981
3.000      0.62831853       26.310062      0.33062200
3.000      0.64402649       25.105085      0.33973724
3.000      0.65973446       23.728812      0.34518647
3.000      0.67544242       23.227414      0.36260695
3.000      0.69115038       22.261276      0.37233853
3.000      0.70685835       21.686143      0.38801610
3.000      0.72256631       20.238349      0.38679288
3.000      0.73827427       19.884446      0.40535633
3.000      0.75398224       19.077388      0.41425953
3.000      0.76969020       18.578325      0.42916538
3.000      0.78539816       17.764279      0.43600100
3.000      0.80110613       17.135724      0.44631643
3.000      0.81681409       16.583204      0.45783435
3.000      0.83252205       15.936680      0.46585991
3.000      0.84823002       15.474115      0.47842844
3.000      0.86393798       14.944823      0.48821231
3.000      0.87964594       14.435432      0.49776433
3.000      0.89535391       14.020936      0.50983713
3.000      0.91106187       13.731971      0.52607389
3.000      0.92676983       13.152293      0.53038031
3.000      0.94247780       12.713585      0.53920220
3.000      0.95818576       12.369652      0.55128591
3.000      0.97389372       12.186169      0.57025900
3.000      0.98960169       11.816342      0.58014240
3.000       1.0053096       11.449719      0.58933826
3.000       1.0367256       11.082945      0.62562902
3.000       1.0681415       10.169563      0.62785439
3.000       1.0995574       9.8784061      0.66528983
3.000       1.1309734       9.1689721      0.67196713
3.000       1.1623893       8.8034129      0.70044836
3.000       1.1938052       8.5595850      0.73777405
3.000       1.2252211       8.2165616      0.76560333
3.000       1.2566371       7.8809502      0.79227952
3.000       1.2880530       7.4935150      0.81125433
3.000       1.3194689       7.1673589      0.83411687
3.000       1.3508848       6.9977699      0.87394661
3.000       1.3823008       6.7179650      0.89890883
3.000       1.4137167       6.5686287      0.94022573
3.000       1.4451326       6.1893164      0.94631573
3.000       1.4765485       5.9603782      0.97204701
3.000       1.5079645       5.8919618       1.0235369
3.000       1.5393804       5.6365217       1.0416440
3.000       1.5707963       5.4956542       1.0790692
3.000       1.6022123       5.2464953       1.0932002
3.000       1.6336282       5.0571473       1.1169546
3.000       1.6650441       4.9214474       1.1509073
3.000       1.6964600       4.8502124       1.1996703
3.000       1.7278760       4.7461162       1.2403559
3.000       1.7592919       4.5294628       1.2494839
3.000       1.7907078       4.4867896       1.3052093
3.000       1.8221237       4.3318310       1.3276248
3.000       1.8535397       4.2285429       1.3641642
3.000       1.8849556       4.1115797       1.3950261
3.000       1.9163715       3.9996694       1.4260458
3.000       1.9477874       3.9140125       1.4652683
3.000       1.9792034       3.7891495       1.4882753
3.000       2.0106193       3.7201314       1.5318565
3.000       2.0734512       3.4934210       1.5776208
3.000       2.1362830       3.4370016       1.6975647
