# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.062831853       314.65597    0.0039540835
3.000      0.12566371       505.37236     0.050805571
3.000      0.18849556       192.63310     0.065358870
3.000      0.25132741       133.43397      0.10731397
3.000      0.31415927       85.453105      0.13422942
3.000      0.37699112       62.766371      0.17036902
3.000      0.43982297       46.081228      0.19862231
3.000      0.50265482       36.156581      0.23263078
3.000      0.56548668       27.718563      0.25392655
3.000      0.62831853       24.260528      0.30486679
3.000      0.69115038       20.863464      0.34895895
3.000      0.75398224       16.853448      0.36596738
3.000      0.81681409       15.199044      0.41962001
3.000      0.87964594       13.532677      0.46663540
3.000      0.94247780       11.834154      0.50190424
3.000       1.0053096       10.723318      0.55194906
3.000       1.0681415       9.4300850      0.58220005
3.000       1.1309734       8.6490590      0.63386422
3.000       1.1938052       8.0117261      0.69055260
3.000       1.2566371       7.2844838      0.73231618
3.000       1.3194689       6.7639599      0.78717044
3.000       1.3823008       6.2283307      0.83339246
3.000       1.4451326       5.7081799      0.87275235
3.000       1.5079645       5.3667597      0.93230011
3.000       1.5707963       5.0279110      0.98722801
3.000       1.6336282       4.6764765       1.0328771
3.000       1.6964600       4.4433247       1.0990291
3.000       1.7592919       4.2612893       1.1755063
3.000       1.8221237       3.8925060       1.1929800
3.000       1.8849556       3.7902776       1.2860109
3.000       1.9477874       3.5603500       1.3328695
3.000       2.0106193       3.4186210       1.4077021
3.000       2.0734512       3.2507568       1.4680342
3.000       2.1362830       3.1275850       1.5447412
3.000       2.1991149       2.9176875       1.5720008
3.000       2.2619467       2.7915241       1.6366610
3.000       2.3247786       2.8040343       1.7848361
3.000       2.3876104       2.6430352       1.8224835
3.000       2.4504423       2.6139343       1.9484908
3.000       2.5132741       2.4603229       1.9787091
3.000       2.5761060       2.3770116       2.0586984
3.000       2.6389378       2.2903259       2.1323330
3.000       2.7017697       2.2481926       2.2462017
3.000       2.7646015       2.2055714       2.3609621
3.000       2.8274334       2.1082804       2.4142141
3.000       2.8902652       2.0376254       2.4923424
3.000       2.9530971       1.9498702       2.5439533
3.000       3.0159289       1.9048076       2.6471874
3.000       3.0787608       1.8498739       2.7348924
3.000       3.1415927       1.8081683       2.8402641
3.000       3.2044245       1.7471933       2.9124693
3.000       3.2672564       1.7388854       3.0724928
3.000       3.3300882       1.6512804       3.0892873
3.000       3.3929201       1.6199777       3.2055326
3.000       3.4557519       1.5751418       3.2931961
3.000       3.5185838       1.5398213       3.3981635
3.000       3.5814156       1.4912598       3.4704655
3.000       3.6442475       1.4707844       3.6061422
3.000       3.7070793       1.4491668       3.7401090
3.000       3.7699112       1.3840750       3.7568447
3.000       3.8327430       1.3853451       3.9514576
3.000       3.8955749       1.3344190       3.9964756
3.000       3.9584067       1.3110628       4.1195995
3.000       4.0212386       1.3023318       4.2901397
3.000       4.1469023       1.2420974       4.4874263
3.000       4.2725660       1.1751711       4.6434171
3.000       4.3982297       1.1400346       4.9138514
3.000       4.5238934       1.1172034       5.2401004
3.000       4.6495571       1.0612574       5.4041295
